jobid,type,param,tasks,nodes,mem,time_sec,cpu_percent
7945211,cores,tasks16_run1_7945211,16,1,512,0:00.47,18
7945212,cores,tasks16_run2_7945212,16,1,512,0:02.50,3
7945213,cores,tasks16_run3_7945213,16,1,512,0:00.47,18
7945214,cores,tasks16_run4_7945214,16,1,512,0:00.33,25
7945215,cores,tasks16_run5_7945215,16,1,512,0:00.35,24
7945190,cores,tasks1_run1_7945190,1,1,512,0:00.23,42
7945191,cores,tasks1_run2_7945191,1,1,512,0:00.23,42
7945192,cores,tasks1_run3_7945192,1,1,512,0:00.23,42
7945193,cores,tasks1_run4_7945193,1,1,512,0:02.30,4
7945194,cores,tasks1_run5_7945194,1,1,512,0:00.24,42
7945195,cores,tasks2_run1_7945195,2,1,512,0:00.29,33
7945196,cores,tasks2_run2_7945196,2,1,512,0:00.29,34
7945197,cores,tasks2_run3_7945197,2,1,512,0:00.30,33
7945198,cores,tasks2_run4_7945198,2,1,512,0:00.30,31
7945199,cores,tasks2_run5_7945199,2,1,512,0:00.30,31
7945200,cores,tasks4_run1_7945200,4,1,512,0:00.31,33
7945201,cores,tasks4_run2_7945201,4,1,512,0:00.30,31
7945202,cores,tasks4_run3_7945202,4,1,512,0:00.30,31
7945203,cores,tasks4_run4_7945203,4,1,512,0:00.30,31
7945204,cores,tasks4_run5_7945204,4,1,512,0:00.31,32
7945205,cores,tasks8_run1_7945205,8,1,512,0:00.33,28
7945206,cores,tasks8_run2_7945206,8,1,512,0:00.35,29
7945207,cores,tasks8_run3_7945207,8,1,512,0:00.37,26
7945209,cores,tasks8_run4_7945209,8,1,512,0:02.52,3
7945210,cores,tasks8_run5_7945210,8,1,512,0:02.53,3
7945226,mem,mem128M_run1_7945226,8,1,128,0:02.83,3
7945227,mem,mem128M_run2_7945227,8,1,128,0:00.37,26
7945228,mem,mem128M_run3_7945228,8,1,128,0:00.40,24
7945229,mem,mem128M_run4_7945229,8,1,128,0:00.37,22
7945230,mem,mem128M_run5_7945230,8,1,128,0:00.33,28
7945241,mem,mem1536M_run1_7945241,8,1,1536,0:00.35,26
7945242,mem,mem1536M_run2_7945242,8,1,1536,0:00.32,28
7945243,mem,mem1536M_run3_7945243,8,1,1536,0:02.49,3
7945244,mem,mem1536M_run4_7945244,8,1,1536,0:02.16,4
7945245,mem,mem1536M_run5_7945245,8,1,1536,0:02.08,4
7945236,mem,mem1G_run1_7945236,8,1,1024,0:00.33,29
7945237,mem,mem1G_run2_7945237,8,1,1024,0:00.32,29
7945238,mem,mem1G_run3_7945238,8,1,1024,0:00.34,27
7945239,mem,mem1G_run4_7945239,8,1,1024,0:02.12,3
7945240,mem,mem1G_run5_7945240,8,1,1024,0:00.39,21
7945246,mem,mem3G_run1_7945246,8,1,3072,0:02.22,3
7945247,mem,mem3G_run2_7945247,8,1,3072,0:02.03,4
7945248,mem,mem3G_run3_7945248,8,1,3072,0:00.28,29
7945249,mem,mem3G_run4_7945249,8,1,3072,0:00.56,15
7945250,mem,mem3G_run5_7945250,8,1,3072,0:00.31,26
7945231,mem,mem512M_run1_7945231,8,1,512,0:00.34,29
7945232,mem,mem512M_run2_7945232,8,1,512,0:00.31,26
7945233,mem,mem512M_run3_7945233,8,1,512,0:00.34,24
7945234,mem,mem512M_run4_7945234,8,1,512,0:02.04,4
7945235,mem,mem512M_run5_7945235,8,1,512,0:00.38,25
7945221,mem,mem64M_run1_7945221,8,1,64,0:00.36,27
7945222,mem,mem64M_run2_7945222,8,1,64,0:00.35,27
7945223,mem,mem64M_run3_7945223,8,1,64,0:00.32,25
7945224,mem,mem64M_run4_7945224,8,1,64,0:00.34,26
7945225,mem,mem64M_run5_7945225,8,1,64,0:00.35,27
7945251,nodes,nodes1_run1_7945251,4,1,512,0:05.01,1
7945252,nodes,nodes1_run2_7945252,4,1,512,0:00.31,30
7945253,nodes,nodes1_run3_7945253,4,1,512,0:00.31,31
7945254,nodes,nodes1_run4_7945254,4,1,512,0:00.30,33
7945255,nodes,nodes1_run5_7945255,4,1,512,0:00.31,32
7945256,nodes,nodes2_run1_7945256,8,2,512,0:02.09,4
7945257,nodes,nodes2_run2_7945257,8,2,512,0:00.42,23
7945258,nodes,nodes2_run3_7945258,8,2,512,0:00.42,24
7945259,nodes,nodes2_run4_7945259,8,2,512,0:02.16,4
7945260,nodes,nodes2_run5_7945260,8,2,512,0:00.32,33
7945261,nodes,nodes4_run1_7945261,16,4,512,0:00.31,31
7945262,nodes,nodes4_run2_7945262,16,4,512,0:01.95,4
7945263,nodes,nodes4_run3_7945263,16,4,512,0:01.88,4
7945264,nodes,nodes4_run4_7945264,16,4,512,0:00.31,31
7945265,nodes,nodes4_run5_7945265,16,4,512,0:00.36,28
7945266,nodes,nodes8_run1_7945266,32,8,512,0:00.36,28
7945267,nodes,nodes8_run2_7945267,32,8,512,0:00.33,32
7945268,nodes,nodes8_run3_7945268,32,8,512,0:00.32,33
7945269,nodes,nodes8_run4_7945269,32,8,512,0:00.35,31
7945270,nodes,nodes8_run5_7945270,32,8,512,0:00.32,30
